"path","bytes","sha256"
"coursework/year-1/semester-1/autocad/acad.err","152","969a4fd25ab27e9ad6ed022b516522544c35a76f27adbcfe6ddfa11c49a231c1"
"coursework/year-1/semester-1/autocad/big circle.bak","43581","a4440e99e8418fd0bda0b8968ddde9af03482318bc3109e9698b973f220dec86"
"coursework/year-1/semester-1/autocad/classwork 1015.bak","46873","53deadfa355100a1b30696a1e969f446a287a89aea160353722f334eb8b2f1f5"
"coursework/year-1/semester-1/autocad/classwork 1015.dwg","42765","ef7f76f698ab84f76ba826e97a5889fe870c50f0fc82a041f7b41f8cce9569c8"
"coursework/year-1/semester-1/autocad/Classwork6.2.bak","33360","fd7b0a87b520f54a99b98b827ea4a5501542ffa5b772003d1c9ecbf4eb0354cc"
"coursework/year-1/semester-1/autocad/Classwork6.2.dwg","41203","c014e1c086bcc895841f3dba43e8a53c0e6ef99c31b50c130a4872d306e6c86d"
"coursework/year-1/semester-1/autocad/DifferentMount.dwg","39630","b928824756f95989298710378b12448309bd98b7d8e828ba20a95fa283db7855"
"coursework/year-1/semester-1/autocad/Drawing2.dwg","34317","f2238537a553e22a6e5470c39cc4ac46a165b9bc6de785b8a7dcae95a6713963"
"coursework/year-1/semester-1/autocad/Drawing222.bak","35023","197774c26eddaa623e2fa997b84239713b173adbc79b8b3f1ac8212480ef31e0"
"coursework/year-1/semester-1/autocad/Drawing222.dwg","40143","ceb827ba323f3dc834ff0e3d99c3894d2db264dcf9b8c8a66d226cd7f1b25e28"
"coursework/year-1/semester-1/autocad/Drawing3.dwg","33424","d944cb19c7df4195e65e5f4575593266b423e8bcdecefe016d2c8aee8c3efe60"
"coursework/year-1/semester-1/autocad/Drawing4.dwg","34831","cc9d184c95c4d376ce3ab7d0ba404ae3a73a9c93656cba0a7b2b665c5f1dffd5"
"coursework/year-1/semester-1/autocad/Drawing5_recover.dwg","29101","8b788d99e23e6eb234e936320696d5066dee0a46f5d6512e4731513fdf0a5622"
"coursework/year-1/semester-1/autocad/Drawing7_recover.dwg","34989","2db73c772d0272dd3eb0a15ce6527d4e2ed8b33c418eb4157d877a6699b7de55"
"coursework/year-1/semester-1/autocad/Filter_Plate.dwg","50837","458fa6fe640aa764900ee87f1575fb55cf607ea26e1a5bb2b8c687f9edcd19d5"
"coursework/year-1/semester-1/autocad/FINAL.bak","65769","14f84c9b632c1bf4bfbaca4e332a4d7be91833d1042813cccf6671bf5bef8419"
"coursework/year-1/semester-1/autocad/FINAL.dwg","66986","2ab9056347387a52da2a34ef14f151bb141dd680b65a83cdc0f3f4cd37ee202b"
"coursework/year-1/semester-1/autocad/FINAL.pdf","107615","be4519868431e52d8cd804bfa31ac770a3ca32335b0fb85540675d901a5b1671"
"coursework/year-1/semester-1/autocad/Homework 4.1.bak","40880","c8ea97d1f39f0f46e9f1be92f710876941957a4156fca5ff14417d58e6ed9289"
"coursework/year-1/semester-1/autocad/Homework 4.1.dwg","41071","1dcadf8167fd6c39b1c088301d5cbfc9ea4bc5969c0ea7732b60b11c25476663"
"coursework/year-1/semester-1/autocad/Homework 4.1.pdf","93049","ab813671cf207179e278b6f7430ad71efd9caa14317610f6121bd1ecd16ea312"
"coursework/year-1/semester-1/autocad/Homework 4.2.bak","43247","6c5ab6356901c2d4ee85dc70ad1518f2bf7f5d36378c13154f6741f86d07e35c"
"coursework/year-1/semester-1/autocad/Homework 4.2.dwg","43408","6cbd483e0efa26019767f3724d98fe4a93a321039864e401381b06655df91bbc"
"coursework/year-1/semester-1/autocad/Homework 4.2.pdf","94384","9d5a949fa3da9acc1d6c93332532f22084d94d3ff41c7ea70c0f1651905ba234"
"coursework/year-1/semester-1/autocad/Homework 4.3.bak","48847","6407b3921eb0d1eece59d5c6d0db89aae8f747d1793e81935186ddaa8cfa911f"
"coursework/year-1/semester-1/autocad/Homework 4.3.dwg","46219","692161e3dce71bcf565dd6340c68b91d51be06f9461d67ba477027519fbe523d"
"coursework/year-1/semester-1/autocad/Homework 4.3.pdf","97086","91f031c01e3d121bc37c33254be9823188f3f829c9de359e2dc3bce203db53e5"
"coursework/year-1/semester-1/autocad/Homework 5.1.pdf","97965","5e1ef84c7841cf4c5a7f5003e147202c2e783fe66b284dd131b0411a8d2e7585"
"coursework/year-1/semester-1/autocad/Homework 5.2.pdf","98021","bf55817f1df263a79b695a1e306901b2c57ab201c3922adf9925b90c74a0fe1f"
"coursework/year-1/semester-1/autocad/Homework 6.1 (bryan).pdf","88642","e9f6c05874ce5dc63e969424d4d07e3d8563b01d7950c7c80639257ce2c99ec6"
"coursework/year-1/semester-1/autocad/Homework 6.1 Final.bak","41106","652831ef8310bb6b444994759d70c4bade554283cbfa9736734245fe9b66ba30"
"coursework/year-1/semester-1/autocad/Homework 6.1 Final.dwg","40273","37451ae634e1626fe535b19e196fbcb018308668df3e6e2544e8a93a4487ef05"
"coursework/year-1/semester-1/autocad/Homework 6.1 Final.pdf","92726","1423d5b08a5ce18e7c4f2c6add8074420a4640625e0a94031a7f37e64b64c157"
"coursework/year-1/semester-1/autocad/Homework 6.1.bak","38295","9f7adc1346c3d9504b6409b7b8a829a1ed99fefba9fa4750ca14918b19a87853"
"coursework/year-1/semester-1/autocad/Homework 6.1.dwg","43973","c0ea867f1d730ff4f89cddd45608b8167b469fe6b831f81feae8c42e11178e8b"
"coursework/year-1/semester-1/autocad/Homework 7.1.bak","86120","4ade1ca687a190e00c0daa8c5a67221d8443bee1416c3469bde9bc69e38034ee"
"coursework/year-1/semester-1/autocad/Homework 7.1.dwg","86209","2883442c0eb4e1cc0c3d604ec4fc9618952daa828dbfd17a9ef525cb91df8596"
"coursework/year-1/semester-1/autocad/Homework 7.2.bak","63002","85e6119a18b884a3a903e702b9790250ef65f8d4728a8011cf9f1bfb382579f0"
"coursework/year-1/semester-1/autocad/Homework 7.2.dwg","46224","abb07c2f254a6e6a801bef0f6a849f0df4dddee21b85252296fb1b3e97de4949"
"coursework/year-1/semester-1/autocad/Homework 7.pdf","109063","c47b58040f853166fd4f161b5bb4876579cdcb0773a602bed6b9903a2eeb1ea4"
"coursework/year-1/semester-1/autocad/HOMEWORK_3_ANGELO_DEMETROULAKOS.pdf","93324","c9f45a2539ca61eaed2283ac4632331fc81c57f07b78065260ea908eafa72cb5"
"coursework/year-1/semester-1/autocad/Homework1.dwg","39699","9f36313e614b1a65d39b173f1d9b45caad90678daa30894fb844bf221ce7f8ed"
"coursework/year-1/semester-1/autocad/Homework2.dwg","59066","ec31b6b7b4ab0bcc9d5425b82b6d5add0fd052003056b9fb68c9e294cc216e8d"
"coursework/year-1/semester-1/autocad/Homework6.2.bak","38808","a179193a045ad98c4037a5cb28e61820403f42be0e60a7ba18e40b6a5bf6fd70"
"coursework/year-1/semester-1/autocad/Homework6.2.dwg","46634","4e8cd5477dea6e8a89a63a756e460370a6bc5c91739d21def2648dbf3ea6366f"
"coursework/year-1/semester-1/autocad/Homework6.2.pdf","94136","02f48bacce011478eeb3f92d42e177e78f731dfb01dee2c67c33390e772aadfd"
"coursework/year-1/semester-1/autocad/Homework6.2final.dwg","65466","c1cb07a90af0b35b25bfcea65d0ed3f6232b315c64bafe4cd405f67fa1051071"
"coursework/year-1/semester-1/autocad/Homework6.3.bak","42402","c65ad9ad7945a4c0693ab6db6ba3ec122c48edafcd7aa7876aed6a17b5fc15d9"
"coursework/year-1/semester-1/autocad/Homework6.3.dwg","38862","8b77678bfedbb3a21b1a2f8874b4cc2cc1630f2d401454e822ce8bc633d1dcec"
"coursework/year-1/semester-1/autocad/Homework6.3Final.bak","65629","6cacdf049f496e65d2d92b637ec8073a4c703b05d03fc7b6d6ae01cff2e4e281"
"coursework/year-1/semester-1/autocad/Homework6.3Final.dwg","63158","2aadb0b90e51a0e2e3f101fac1e2ed35fb1196ccea719e0717362f86beedd5a7"
"coursework/year-1/semester-1/autocad/Homework6.3Final.pdf","96968","0a282c662be0b064a228443a1a53fb7f274a96eb26b6f4cd81378a4e552d63b8"
"coursework/year-1/semester-1/autocad/Homework6.3mm.bak","43470","164f65d0a89fc02ddae747738723dcbd2465b4ca74daaeec112b2380c34e33e4"
"coursework/year-1/semester-1/autocad/homework8.1.bak","67898","43ff8a6cca12aaea754514dae6fca89f4ad92f836fea65dc2fe927fd80fd2288"
"coursework/year-1/semester-1/autocad/homework8.1.dwg","70587","860ce09cee5bf1d21c595207052159a63a8e7fbe23abe5e792b068dec3d28ebc"
"coursework/year-1/semester-1/autocad/homework8.1.pdf","99227","07cf880ddfe704dd8147d2680a3d7b05c7647e041219f8011eb2c9f58e490ac3"
"coursework/year-1/semester-1/autocad/homework8.11.pdf","99417","cdfec9effef3b7f853a5db22f9f7549e951aca2e0aa9d08e2a420026d2f4f82b"
"coursework/year-1/semester-1/autocad/homework8.111.pdf","98948","c18c5e3d70a5c9417dd540fd39f3d2ff7a013a30325177afe3ff93c2bb6f1dfb"
"coursework/year-1/semester-1/autocad/homework8.2.bak","67966","13474d3f3c2577ef162a856e07f31598d84eccd2f5e9414ae536e22290033983"
"coursework/year-1/semester-1/autocad/homework8.2.dwg","67169","902779477c054bf46ca700a3e17f9e3fe90dd754feca1bbc4c6d665a27dde280"
"coursework/year-1/semester-1/autocad/homework8.2.pdf","99026","44f8a634027503e425d28a91f337526ddfdd2ae81dec618da2957d522d1b2c98"
"coursework/year-1/semester-1/autocad/homework8.22.pdf","99026","9e5148cece5b08b1ea673c662dd0cbfd3ba2816336aac12e568c84167dd5aa65"
"coursework/year-1/semester-1/autocad/homework8.222.pdf","99137","47ea0ebdef78b8d0a333b40774d1a9b20afa9250fb8ae2bef9984a0772429487"
"coursework/year-1/semester-1/autocad/HW333.dwg","65966","128aff041689994bd1e76f328e645dc94b4246cedcaa0a8feb1869aa1499467f"
"coursework/year-1/semester-1/autocad/HW3ANGELODEMETROULAKOS.dwg","53235","dbf082e4f74bdfa37f98d7703c05c375ed11352eb25d8a5b50cf8ab0f1557ffd"
"coursework/year-1/semester-1/autocad/little circle.bak","42092","bb936b1c8a75e5959a9c90c8fb1bd09efe87245f787310bddddbba1bd85fdaad"
"coursework/year-1/semester-1/autocad/Midterm 1.bak","47987","fd55e835369a3e6b88f3e72b134fc10c6a6c849f60cd13bcd833add07da7046e"
"coursework/year-1/semester-1/autocad/Midterm 1.dwg","47919","df4a2dbb7f5d0ed4bb53d0d55f6b26dd342e439061cffc8327c9550f43019643"
"coursework/year-1/semester-1/autocad/Midterm 1.pdf","94591","b2740463db8b8830f4d7adb8443a53c3d237716fad98fa1c61d239177190c94a"
"coursework/year-1/semester-1/autocad/Midterm 2.bak","68785","8ebe473412a4ef9018bd159586af9dff969173e12207b2a62b512332a187fee0"
"coursework/year-1/semester-1/autocad/Midterm 2.dwg","48720","a0f5c0b4ef143e5449e04497c589b3c2fd119c400286fd78ea0e08f4e2af733f"
"coursework/year-1/semester-1/autocad/Midterm 2.pdf","95450","a800361cbaa12b316f9e02d440d071de28d3c5ace7df4c8ba80f89c5135d02b1"
"coursework/year-1/semester-1/autocad/OGmount.dwg","62555","09ccc0175a59f991ad4324ab76104083b77d8786222678d09fd83899685b4842"
"coursework/year-1/semester-1/autocad/plot.log","3595","46afb54ad73a099df47833fb94aa0803b653179775d451be9431152318cc2d0b"
"coursework/year-1/semester-1/autocad/Polar Array.dwg","46254","18a1db9acabe58057fcb1a893e5a71a6ee9cc865965c5fc56add1f61d14a1cf8"
"coursework/year-1/semester-1/autocad/processed-28E0FA9A-9FBD-4A67-ABF1-3E190234C248.jpeg","2125561","381a7d5138d6a79fd230dce35e546cca3b48518708dedf76f00c1143063c1340"
"coursework/year-1/semester-1/autocad/Quiz1 Angelo Demetroulakos.pdf","96781","da1f30016c842dcf5e35a6d457e87d644d0e977b958e5d6a6bd1690b144cf6be"
"coursework/year-1/semester-1/autocad/Quiz1.bak","73467","3013cf3aacca96cb1bfd0533b4e6dcb0d2b5f7782ba89994b83ba0a9761bf30b"
"coursework/year-1/semester-1/autocad/Quiz1.dwg","73519","034d9317740da34237785a7904e4d8682982f305ac8926c3d4d91652e3a41f4f"
"coursework/year-1/semester-1/autocad/Quiz1.pdf","96786","2273aa8dd81ceed5969a77523fe8505b8bda610d996f56db6d1ce1c94a6a8af5"
"coursework/year-1/semester-1/autocad/Quiz3.bak","56215","038ecbff012088dd47cc0e20dfcc0e6ce72ae4ca63f6daf7ab9498a9ed655683"
